Year;quarter;ukos;mode;country;purpose;package;Age;Sex;duration;visits;nights;expend;sample
2022;1;1;1;12;5;1;3;1;2;"285,049";"1425,243";"142524,252";1
2022;1;1;1;12;5;1;4;1;2;"872,839";"4364,196";"174567,836";1
2022;1;1;1;12;5;1;4;1;4;"305,068";"14033,113";"887441,883";1
2022;1;1;1;12;5;1;5;1;2;"590,116";"5046,016";"254059,523";2
2022;1;1;1;12;5;1;5;2;2;"305,068";"1830,406";"313914,643";1
2022;1;1;1;12;5;1;6;2;2;"285,049";"2850,485";"204094,730";1
2022;1;1;1;12;5;1;6;2;4;"305,068";"12202,707";"774261,774";1
2022;1;1;1;13;1;1;2;2;1;"1227,208";"2454,417";"159537,097";1
2022;1;1;1;13;1;1;4;1;2;"875,706";"3502,825";"262711,902";1
2022;1;1;1;13;1;1;5;1;2;"1227,208";"7363,251";"613604,220";1
2022;1;1;1;13;1;1;6;2;2;"708,538";"4251,230";"409535,151";1
2022;1;1;1;13;1;1;7;1;2;"1227,208";"8590,459";"337482,321";1
2022;1;1;1;13;1;1;9;1;1;"919,947";"2759,842";"303582,643";1
2022;1;1;1;13;2;1;6;1;2;"537,369";"5373,687";"1719579,938";1
2022;1;1;1;13;4;1;2;2;3;"708,538";"9919,537";"141707,665";1
2022;1;1;1;13;4;1;3;1;3;"1330,592";"21702,969";"665295,820";2
2022;1;1;1;13;4;1;3;2;2;"311,373";"2802,356";"120189,924";1
2022;1;1;1;13;4;1;4;1;4;"919,947";"80035,424";"2759842,207";1
2022;1;1;1;13;4;1;4;2;2;"708,538";"4251,230";"1251987,217";1
2022;1;1;1;13;4;1;4;2;3;"917,089";"13756,334";"483305,874";2
2022;1;1;1;13;4;1;5;1;3;"458,544";"7336,712";"300805,174";1
2022;1;1;1;13;4;2;2;1;2;"872,047";"7848,425";"336610,206";1
2022;1;1;1;14;1;1;2;1;2;"622,746";"4047,847";"762863,508";2
2022;1;1;1;14;1;1;2;2;1;"2207,070";"6621,211";"433194,620";2
2022;1;1;1;14;1;1;2;2;2;"1074,264";"4297,054";"455487,769";1
2022;1;1;1;14;1;1;3;1;1;"4150,959";"11580,829";"2060755,670";6
2022;1;1;1;14;1;1;3;1;2;"1357,978";"5431,912";"616341,070";4
2022;1;1;1;14;1;1;3;2;1;"1124,896";"3374,687";"289084,679";3
2022;1;1;1;14;1;1;3;2;2;"2665,942";"10663,769";"1188481,671";4
2022;1;1;1;14;1;1;3;2;4;"872,047";"26161,415";"838909,374";1
2022;1;1;1;14;1;1;4;1;1;"538,627";"1077,253";"215450,607";1
2022;1;1;1;14;1;1;4;1;2;"1739,758";"8732,507";"1215531,299";3
2022;1;1;1;14;1;1;4;2;1;"305,068";"915,203";"152533,840";1
2022;1;1;1;14;1;1;4;2;2;"617,257";"5254,918";"155137,570";2
2022;1;1;1;14;1;1;5;2;2;"349,716";"2448,009";"122400,470";1
2022;1;1;1;14;1;1;6;1;2;"391,822";"1567,288";"39182,191";1
2022;1;1;1;14;1;1;6;2;2;"697,706";"2790,825";"145216,072";2
2022;1;1;1;14;1;1;7;1;2;"234,579";"938,317";"117289,683";1
2022;1;1;1;14;1;1;7;2;2;"391,822";"1567,288";"195910,955";1
2022;1;1;1;14;1;2;2;1;1;"1612,890";"4300,044";"558846,732";2
2022;1;1;1;14;1;2;2;1;2;"687,401";"2749,603";"431730,521";2
2022;1;1;1;14;1;2;3;1;1;"596,702";"1193,404";"140224,995";1
2022;1;1;1;14;1;2;3;1;2;"697,706";"2790,825";"170604,465";2
2022;1;1;1;14;1;2;3;2;2;"998,774";"3995,095";"271761,442";3
2022;1;1;1;14;1;2;4;1;1;"1751,413";"5254,238";"308248,632";2
2022;1;1;1;14;1;2;4;1;2;"391,822";"1567,288";"103049,162";1
2022;1;1;1;14;1;2;5;1;2;"295,579";"1182,315";"107295,130";1
2022;1;1;1;14;1;2;5;2;2;"1787,234";"7148,937";"915445,812";5
2022;1;1;1;14;1;2;6;1;2;"697,706";"2790,825";"278700,849";2
2022;1;1;1;14;1;2;6;2;2;"2260,813";"10794,666";"916015,952";5
2022;1;1;1;14;1;2;7;1;2;"295,579";"1182,315";"127394,493";1
2022;1;1;1;14;2;1;3;1;2;"458,544";"2292,722";"229272,236";1
2022;1;1;1;14;2;1;4;1;1;"1132,807";"2265,613";"339842,010";1
2022;1;1;1;14;2;1;4;1;2;"349,716";"1398,863";"0,000";1
2022;1;1;1;14;2;1;6;1;2;"311,373";"1245,491";"93411,858";1
2022;1;1;1;14;2;2;3;1;1;"469,296";"1407,887";"397024,252";1
2022;1;1;1;14;4;1;2;1;2;"596,702";"4773,617";"298351,052";1
2022;1;1;1;14;4;1;2;2;2;"617,257";"5566,291";"152942,128";2
2022;1;1;1;14;4;1;2;2;3;"1132,807";"26054,554";"453122,681";1
2022;1;1;1;14;4;1;2;2;4;"1444,180";"50122,227";"404414,295";2
2022;1;1;1;14;4;1;3;1;2;"305,884";"1835,306";"21411,898";1
2022;1;1;1;14;4;1;3;1;3;"538,627";"7540,771";"251538,584";1
2022;1;1;1;14;4;1;3;2;2;"2598,892";"11469,832";"610540,863";3
2022;1;1;1;14;4;1;3;2;3;"882,374";"15244,774";"460007,312";2
2022;1;1;1;14;4;1;4;1;2;"349,716";"2448,009";"69943,126";1
2022;1;1;1;14;4;1;4;1;3;"1132,807";"27187,361";"12460,874";1
2022;1;1;1;14;4;1;4;2;1;"349,716";"1049,147";"17485,781";1
2022;1;1;1;14;4;1;4;2;2;"469,296";"5162,254";"156275,503";1
2022;1;1;1;14;4;1;4;2;4;"311,373";"16814,134";"622745,721";1
2022;1;1;1;14;4;1;5;1;2;"1013,606";"6180,039";"543085,783";2
2022;1;1;1;14;4;1;5;1;3;"295,579";"6207,156";"177347,322";1
2022;1;1;1;14;4;1;5;2;2;"1472,408";"7679,740";"317268,402";2
2022;1;1;1;14;4;1;5;2;4;"919,947";"34958,001";"1839894,805";1
2022;1;1;1;14;4;1;6;1;2;"413,078";"4543,855";"289154,412";1
